82,4919,10184,    ,    ,    ,    
83,2305,9950,    ,    ,    ,    
84,00650L,9596,    ,    ,    ,    
85,2889,9560,    ,    ,    ,    
86,2344,9467,    ,    ,    ,    
87,2308,9294,    ,    ,    ,    
88,00633L,9269,    ,    ,    ,    
89,1795,9172,    ,    ,    ,    
90,8358,8966,    ,    ,    ,    
91,2881,8822,    ,    ,    ,    
92,1708,8791,    ,    ,    ,    
93,6443,8749,    ,    ,    ,    
94,2880,8660,    ,    ,    ,    
95,5880,8640,    ,    ,    ,    
96,2364,8596,    ,    ,    ,    
97,2313,8592,    ,    ,    ,    
98,3017,8476,    ,    ,    ,    
99,9945,8389,    ,    ,    ,    
100,6116,8201,    ,    ,    ,    
101,4915,8130,    ,    ,    ,    
102,5871,8045,    ,    ,    ,    
103,00664R,8045,    ,    ,    ,    
104,3231,7439,    ,    ,    ,    
105,2376,7415,    ,    ,    ,    
106,3545,7290,    ,    ,    ,    
107,3406,7157,    ,    ,    ,    
108,891,7098,    ,    ,    ,    
109,6205,6915,    ,    ,    ,    
110,2014,6870,    ,    ,    ,    
111,1560,6822,    ,    ,    ,    
112,2412,6800,    ,    ,    ,    
113,4968,6775,    ,    ,    ,    
114,2915,6749,    ,    ,    ,    
115,3047,6669,    ,    ,    ,    
116,2353,6573,    ,    ,    ,    
117,8033,6565,    ,    ,    ,    
118,6531,6488,    ,    ,    ,    
119,1303,6480,    ,    ,    ,    
120,6150,6442,    ,    ,    ,    
121,3588,6344,    ,    ,    ,    
122,881,6314,    ,    ,    ,    
123,2027,6308,    ,    ,    ,    
124,2637,6173,    ,    ,    ,    
125,2454,6163,    ,    ,    ,    
126,2324,6137,    ,    ,    ,    
127,1513,6128,    ,    ,    ,    
128,8028,6037,    ,    ,    ,    
129,8916,6001,    ,    ,    ,    
130,920,5957,    ,    ,    ,    
131,1218,5932,    ,    ,    ,    
132,2468,5867,    ,    ,    ,    
133,4128,5835,    ,    ,    ,    
134,2338,5802,    ,    ,    ,    
135,2614,5785,    ,    ,    ,    
136,2497,5696,    ,    ,    ,    
137,8933,5686,    ,    ,    ,    
138,1907,5599,    ,    ,    ,    
139,00648R,5598,    ,    ,    ,    
140,5258,5550,    ,    ,    ,    
141,00670L,5468,    ,    ,    ,    
142,919,5316,    ,    ,    ,    
143,2913,5310,    ,    ,    ,    
144,1504,5289,    ,    ,    ,    
145,00676R,5289,    ,    ,    ,    
146,892,5160,    ,    ,    ,    
147,6547,5028,    ,    ,    ,    
148,5347,5003,    ,    ,    ,    
149,5215,4919,    ,    ,    ,    
150,3289,4878,    ,    ,    ,    
151,2495,4874,    ,    ,    ,    
152,6239,4866,    ,    ,    ,    
153,4961,4863,    ,    ,    ,    
154,1524,4824,    ,    ,    ,    
155,2801,4822,    ,    ,    ,    
156,3558,4733,    ,    ,    ,    
157,900,4719,    ,    ,    ,    
158,5457,4669,    ,    ,    ,    
159,2382,4542,    ,    ,    ,    
160,1314,4538,    ,    ,    ,    
161,3034,4514,    ,    ,    ,    
162,6005,4451,    ,    ,    ,    
163,2455,4427,    ,    ,    ,    
164,2371,4366,    ,    ,    ,    
165,5876,4356,    ,    ,    ,    
166,6182,4345,    ,    ,    ,    
167,4904,4343,    ,    ,    ,    
168,3576,4317,    ,    ,    ,    
169,6472,4306,    ,    ,    ,    
170,1402,4285,    ,    ,    ,    
171,903,4278,    ,    ,    ,    
172,2356,4205,    ,    ,    ,    
173,5483,4172,    ,    ,    ,    
174,3707,4168,    ,    ,    ,    
175,2460,4154,    ,    ,    ,    
176,1301,4100,    ,    ,    ,    
177,2449,4086,    ,    ,    ,    
178,00655L,4055,    ,    ,    ,    
179,1326,3993,    ,    ,    ,    
180,2845,3992,    ,    ,    ,    
181,4938,3982,    ,    ,    ,    
182,2345,3929,    ,    ,    ,    
183,6208,3859,    ,    ,    ,    
184,3081,3818,    ,    ,    ,    
185,2301,3812,    ,    ,    ,    
186,1216,3803,    ,    ,    ,    
187,00679B,3800,    ,    ,    ,    
188,8478,3792,    ,    ,    ,    
189,3260,3777,    ,    ,    ,    
190,3128,3744,    ,    ,    ,    
191,3062,3714,    ,    ,    ,    
